,state,ca_monthly,age_group,poverty_rate
570,Ohio,25,child,11.2
573,Ohio,50,child,10.2
576,Ohio,75,child,9.5
579,Ohio,100,child,8.5
582,Ohio,125,child,7.9
585,Ohio,150,child,7.6
588,Ohio,175,child,7.1
591,Ohio,200,child,6.6
594,Ohio,225,child,6.1
597,Ohio,250,child,5.6
600,Ohio,275,child,5.4
603,Ohio,300,child,4.8
606,Ohio,325,child,4.4
609,Ohio,350,child,3.8
612,Ohio,375,child,3.4
615,Ohio,400,child,3.4
618,Ohio,425,child,3.3
621,Ohio,450,child,3.0
624,Ohio,475,child,2.7
627,Ohio,500,child,2.4
2268,Oklahoma,0,child,11.5
2271,Oklahoma,25,child,11.0
2274,Oklahoma,50,child,10.6
2277,Oklahoma,75,child,9.9
2280,Oklahoma,100,child,9.3
2283,Oklahoma,125,child,8.9
2286,Oklahoma,150,child,7.9
2289,Oklahoma,175,child,7.1
2292,Oklahoma,200,child,6.4
2295,Oklahoma,225,child,5.9
2298,Oklahoma,250,child,5.8
2301,Oklahoma,275,child,5.4
2304,Oklahoma,300,child,5.0
2307,Oklahoma,325,child,4.8
2310,Oklahoma,350,child,4.7
2313,Oklahoma,375,child,4.2
2316,Oklahoma,400,child,4.0
2319,Oklahoma,425,child,3.6
2322,Oklahoma,450,child,2.9
2325,Oklahoma,475,child,2.9
2328,Oklahoma,500,child,2.7
2961,Oregon,0,child,12.7
2964,Oregon,25,child,12.1
2967,Oregon,50,child,11.1
2970,Oregon,75,child,10.1
2973,Oregon,100,child,9.3
2976,Oregon,125,child,8.3
2979,Oregon,150,child,7.8
2982,Oregon,175,child,7.4
2985,Oregon,200,child,7.3
2988,Oregon,225,child,7.0
2991,Oregon,250,child,6.6
2994,Oregon,275,child,6.4
2997,Oregon,300,child,5.7
3000,Oregon,325,child,5.1
3003,Oregon,350,child,5.1
3006,Oregon,375,child,4.6
3009,Oregon,400,child,4.5
3012,Oregon,425,child,4.5
3015,Oregon,450,child,4.3
3018,Oregon,475,child,3.7
3021,Oregon,500,child,3.6
504,Pennsylvania,0,child,14.0
507,Pennsylvania,25,child,13.1
510,Pennsylvania,50,child,12.3
513,Pennsylvania,75,child,11.9
516,Pennsylvania,100,child,11.0
519,Pennsylvania,125,child,10.1
522,Pennsylvania,150,child,9.3
525,Pennsylvania,175,child,8.7
