,code,state,ca_monthly,poverty_rate
606,NH,New Hampshire,450,3.7
607,NH,New Hampshire,475,3.3
608,NH,New Hampshire,500,3.2
609,NJ,New Jersey,0,15.1
610,NJ,New Jersey,25,14.5
611,NJ,New Jersey,50,14.1
612,NJ,New Jersey,75,13.5
613,NJ,New Jersey,100,13.0
614,NJ,New Jersey,125,12.0
615,NJ,New Jersey,150,11.2
616,NJ,New Jersey,175,10.6
617,NJ,New Jersey,200,9.7
618,NJ,New Jersey,225,9.6
619,NJ,New Jersey,250,9.2
620,NJ,New Jersey,275,8.6
621,NJ,New Jersey,300,8.2
622,NJ,New Jersey,325,7.6
623,NJ,New Jersey,350,7.1
624,NJ,New Jersey,375,6.8
625,NJ,New Jersey,400,6.7
626,NJ,New Jersey,425,6.2
627,NJ,New Jersey,450,5.6
628,NJ,New Jersey,475,5.4
629,NJ,New Jersey,500,4.9
630,NM,New Mexico,0,13.8
631,NM,New Mexico,25,12.8
632,NM,New Mexico,50,11.8
633,NM,New Mexico,75,11.2
634,NM,New Mexico,100,10.4
635,NM,New Mexico,125,9.9
636,NM,New Mexico,150,9.1
637,NM,New Mexico,175,8.6
638,NM,New Mexico,200,8.0
639,NM,New Mexico,225,7.5
640,NM,New Mexico,250,6.9
641,NM,New Mexico,275,5.7
642,NM,New Mexico,300,5.4
643,NM,New Mexico,325,5.1
644,NM,New Mexico,350,4.7
645,NM,New Mexico,375,4.3
646,NM,New Mexico,400,4.2
647,NM,New Mexico,425,4.0
648,NM,New Mexico,450,3.7
649,NM,New Mexico,475,3.4
650,NM,New Mexico,500,3.0
651,NY,New York,0,16.3
652,NY,New York,25,15.6
653,NY,New York,50,14.9
654,NY,New York,75,13.8
655,NY,New York,100,13.3
656,NY,New York,125,12.8
657,NY,New York,150,12.0
658,NY,New York,175,11.0
659,NY,New York,200,10.1
660,NY,New York,225,9.6
661,NY,New York,250,9.1
662,NY,New York,275,8.5
663,NY,New York,300,8.4
664,NY,New York,325,7.9
665,NY,New York,350,7.8
666,NY,New York,375,7.5
667,NY,New York,400,7.3
668,NY,New York,425,7.0
669,NY,New York,450,6.7
670,NY,New York,475,6.5
671,NY,New York,500,6.0
672,NC,North Carolina,0,15.3
673,NC,North Carolina,25,14.3
674,NC,North Carolina,50,13.1
675,NC,North Carolina,75,12.0
676,NC,North Carolina,100,11.0
677,NC,North Carolina,125,10.2
678,NC,North Carolina,150,9.4
679,NC,North Carolina,175,8.7
680,NC,North Carolina,200,8.1
681,NC,North Carolina,225,7.8
682,NC,North Carolina,250,7.3
683,NC,North Carolina,275,6.6
684,NC,North Carolina,300,5.9
685,NC,North Carolina,325,5.5
686,NC,North Carolina,350,5.3
687,NC,North Carolina,375,4.8
688,NC,North Carolina,400,4.3
689,NC,North Carolina,425,4.0
690,NC,North Carolina,450,4.0
691,NC,North Carolina,475,3.6
692,NC,North Carolina,500,3.4
693,ND,North Dakota,0,11.3
694,ND,North Dakota,25,10.1
695,ND,North Dakota,50,9.3
696,ND,North Dakota,75,8.8
697,ND,North Dakota,100,8.1
698,ND,North Dakota,125,8.1
699,ND,North Dakota,150,7.5
700,ND,North Dakota,175,6.8
701,ND,North Dakota,200,6.1
702,ND,North Dakota,225,5.7
703,ND,North Dakota,250,5.6
704,ND,North Dakota,275,5.6
705,ND,North Dakota,300,5.5
706,ND,North Dakota,325,5.0
707,ND,North Dakota,350,4.9
708,ND,North Dakota,375,4.6
709,ND,North Dakota,400,4.4
710,ND,North Dakota,425,3.8
711,ND,North Dakota,450,3.2
712,ND,North Dakota,475,3.2
713,ND,North Dakota,500,3.2
714,OH,Ohio,0,11.9
715,OH,Ohio,25,11.2
716,OH,Ohio,50,10.2
717,OH,Ohio,75,9.5
718,OH,Ohio,100,8.5
719,OH,Ohio,125,7.9
720,OH,Ohio,150,7.6
721,OH,Ohio,175,7.1
722,OH,Ohio,200,6.6
723,OH,Ohio,225,6.1
724,OH,Ohio,250,5.6
725,OH,Ohio,275,5.4
726,OH,Ohio,300,4.8
727,OH,Ohio,325,4.4
728,OH,Ohio,350,3.8
729,OH,Ohio,375,3.4
730,OH,Ohio,400,3.4
731,OH,Ohio,425,3.3
732,OH,Ohio,450,3.0
733,OH,Ohio,475,2.7
734,OH,Ohio,500,2.4
735,OK,Oklahoma,0,11.5
736,OK,Oklahoma,25,11.0
737,OK,Oklahoma,50,10.6
738,OK,Oklahoma,75,9.9
739,OK,Oklahoma,100,9.3
740,OK,Oklahoma,125,8.9
741,OK,Oklahoma,150,7.9
742,OK,Oklahoma,175,7.1
743,OK,Oklahoma,200,6.4
744,OK,Oklahoma,225,5.9
745,OK,Oklahoma,250,5.8
746,OK,Oklahoma,275,5.4
747,OK,Oklahoma,300,5.0
748,OK,Oklahoma,325,4.8
749,OK,Oklahoma,350,4.7
750,OK,Oklahoma,375,4.2
751,OK,Oklahoma,400,4.0
752,OK,Oklahoma,425,3.6
753,OK,Oklahoma,450,2.9
754,OK,Oklahoma,475,2.9
755,OK,Oklahoma,500,2.7
756,OR,Oregon,0,12.7
757,OR,Oregon,25,12.1
758,OR,Oregon,50,11.1
759,OR,Oregon,75,10.1
760,OR,Oregon,100,9.3
761,OR,Oregon,125,8.3
762,OR,Oregon,150,7.8
763,OR,Oregon,175,7.4
764,OR,Oregon,200,7.3
765,OR,Oregon,225,7.0
766,OR,Oregon,250,6.6
767,OR,Oregon,275,6.4
768,OR,Oregon,300,5.7
769,OR,Oregon,325,5.1
770,OR,Oregon,350,5.1
771,OR,Oregon,375,4.6
772,OR,Oregon,400,4.5
773,OR,Oregon,425,4.5
774,OR,Oregon,450,4.3
775,OR,Oregon,475,3.7
776,OR,Oregon,500,3.6
777,PA,Pennsylvania,0,14.0
778,PA,Pennsylvania,25,13.1
779,PA,Pennsylvania,50,12.3
780,PA,Pennsylvania,75,11.9
781,PA,Pennsylvania,100,11.0
782,PA,Pennsylvania,125,10.1
783,PA,Pennsylvania,150,9.3
784,PA,Pennsylvania,175,8.7
785,PA,Pennsylvania,200,8.2
786,PA,Pennsylvania,225,8.1
787,PA,Pennsylvania,250,8.0
788,PA,Pennsylvania,275,7.4
789,PA,Pennsylvania,300,7.2
790,PA,Pennsylvania,325,6.5
791,PA,Pennsylvania,350,6.2
792,PA,Pennsylvania,375,5.8
793,PA,Pennsylvania,400,5.6
794,PA,Pennsylvania,425,5.3
